project,wait_days,method,n_tree_bst,theta_imb_bst,theta_cl_bst,ave_gmean_pre
tensorflow,30,upp,40,0.950,0.800,0.628
tensorflow,30,upp_filter,40,0.950,0.800,0.635
tensorflow,30,btm,30,0.950,0.900,0.616
tensorflow,30,oza,40,-1.000,-1.000,0.597
tensorflow,60,our,5,0.999,0.800,0.417
tensorflow,60,oob,5,0.999,-1.000,0.332
tensorflow,60,upp,5,0.999,0.800,0.455
tensorflow,60,upp_filter,40,0.999,0.800,0.521
tensorflow,60,btm,5,0.999,0.900,0.394
tensorflow,60,oza,5,-1.000,-1.000,0.370
tomcat,5,our,40,0.990,0.900,0.529
tomcat,5,oob,30,0.990,-1.000,0.460
tomcat,5,upp,20,0.950,0.900,0.572
tomcat,5,upp_filter,5,0.990,0.900,0.431
tomcat,5,btm,30,0.990,0.900,0.481
tomcat,5,oza,40,-1.000,-1.000,0.197
tomcat,10,our,30,0.990,0.800,0.524
tomcat,10,oob,10,0.950,-1.000,0.443
tomcat,10,upp,40,0.950,0.800,0.581
tomcat,10,upp_filter,5,0.990,0.900,0.424
tomcat,10,btm,40,0.990,0.900,0.469
tomcat,10,oza,5,-1.000,-1.000,0.173
tomcat,15,our,40,0.990,0.800,0.538
tomcat,15,oob,5,0.950,-1.000,0.448
tomcat,15,upp,30,0.950,0.800,0.578
tomcat,15,upp_filter,5,0.990,0.800,0.431
tomcat,15,btm,5,0.950,0.800,0.477
tomcat,15,oza,10,-1.000,-1.000,0.168
tomcat,30,our,40,0.990,0.800,0.540
tomcat,30,oob,30,0.990,-1.000,0.521
tomcat,30,upp,30,0.950,0.800,0.571
tomcat,30,upp_filter,5,0.900,0.900,0.448
tomcat,30,btm,5,0.950,0.800,0.474
tomcat,30,oza,40,-1.000,-1.000,0.185
tomcat,60,our,30,0.900,0.900,0.503
tomcat,60,oob,10,0.950,-1.000,0.442
tomcat,60,upp,40,0.990,0.800,0.578
tomcat,60,upp_filter,20,0.990,0.900,0.569
tomcat,60,btm,30,0.990,0.800,0.510
tomcat,60,oza,40,-1.000,-1.000,0.164
vscode,5,our,40,0.990,0.800,0.734
vscode,5,oob,40,0.990,-1.000,0.513
vscode,5,upp,40,0.990,0.800,0.719
vscode,5,upp_filter,30,0.990,0.800,0.718
vscode,5,btm,30,0.990,0.800,0.690
vscode,5,oza,5,-1.000,-1.000,0.193
vscode,10,our,20,0.990,0.800,0.702
vscode,10,oob,10,0.990,-1.000,0.612
vscode,10,upp,20,0.990,0.900,0.659
vscode,10,upp_filter,30,0.990,0.900,0.671
vscode,10,btm,10,0.990,0.900,0.628
vscode,10,oza,40,-1.000,-1.000,0.337
vscode,15,our,30,0.990,0.900,0.669
vscode,15,oob,30,0.990,-1.000,0.588
vscode,15,upp,20,0.990,0.900,0.613
vscode,15,upp_filter,40,0.950,0.900,0.631
vscode,15,btm,30,0.950,0.800,0.597
vscode,15,oza,40,-1.000,-1.000,0.397
vscode,30,our,5,0.950,0.900,0.396
vscode,30,oob,5,0.950,-1.000,0.399
vscode,30,upp,5,0.950,0.900,0.398
vscode,30,upp_filter,5,0.950,0.900,0.400
vscode,30,btm,5,0.950,0.900,0.407
vscode,30,oza,5,-1.000,-1.000,0.373
vscode,60,our,5,0.900,0.900,0.041
vscode,60,oob,5,0.900,-1.000,0.042
vscode,60,upp,5,0.950,0.900,0.042
vscode,60,upp_filter,5,0.900,0.900,0.041
vscode,60,btm,5,0.950,0.900,0.052
vscode,60,oza,5,-1.000,-1.000,0.042
wp-calypso,5,our,30,0.990,0.800,0.456
wp-calypso,5,oob,10,0.990,-1.000,0.470
wp-calypso,5,upp,10,0.990,0.800,0.481
wp-calypso,5,upp_filter,5,0.990,0.800,0.477
wp-calypso,5,btm,40,0.990,0.900,0.466
wp-calypso,5,oza,10,-1.000,-1.000,0.032
wp-calypso,10,our,10,0.990,0.900,0.485
wp-calypso,10,oob,5,0.990,-1.000,0.490
wp-calypso,10,upp,40,0.990,0.900,0.504
wp-calypso,10,upp_filter,20,0.990,0.900,0.507
wp-calypso,10,btm,20,0.990,0.800,0.490
wp-calypso,10,oza,10,-1.000,-1.000,0.087
wp-calypso,15,our,40,0.900,0.900,0.553
wp-calypso,15,oob,5,0.990,-1.000,0.540
wp-calypso,15,upp,40,0.950,0.900,0.546
wp-calypso,15,upp_filter,40,0.950,0.900,0.553
wp-calypso,15,btm,40,0.950,0.900,0.547
wp-calypso,15,oza,5,-1.000,-1.000,0.263
wp-calypso,30,our,20,0.900,0.900,0.532
wp-calypso,30,oob,10,0.900,-1.000,0.541
wp-calypso,30,upp,5,0.900,0.900,0.541
wp-calypso,30,upp_filter,5,0.900,0.900,0.543
wp-calypso,30,btm,20,0.900,0.900,0.541
wp-calypso,30,oza,10,-1.000,-1.000,0.487
wp-calypso,60,our,30,0.950,0.800,0.409
wp-calypso,60,oob,40,0.950,-1.000,0.449
wp-calypso,60,upp,40,0.950,0.800,0.453
wp-calypso,60,upp_filter,40,0.950,0.800,0.453
wp-calypso,60,btm,10,0.900,0.800,0.419
wp-calypso,60,oza,40,-1.000,-1.000,0.338
brackets,15,oob_filter,40,0.999,-1.000,0.645
broadleaf,15,oob_filter,40,0.950,-1.000,0.606
camel,15,oob_filter,30,0.999,-1.000,0.608
corefx,15,oob_filter,40,0.950,-1.000,0.557
django,15,oob_filter,30,0.990,-1.000,0.566
fabric,15,oob_filter,20,0.990,-1.000,0.565
jgroups,15,oob_filter,20,0.990,-1.000,0.511
nova,15,oob_filter,10,0.999,-1.000,0.420
rails,15,oob_filter,40,0.950,-1.000,0.553
rust,15,oob_filter,10,0.999,-1.000,0.478
tensorflow,15,oob_filter,10,0.990,-1.000,0.573
tomcat,15,oob_filter,5,0.950,-1.000,0.351
vscode,15,oob_filter,30,0.990,-1.000,0.588
wp-calypso,15,oob_filter,5,0.990,-1.000,0.540
